SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
27.08,20.00,980.07,25.18,1000.000000,1000.000000,0.00,0,0,0,,
27.08,20.00,980.04,25.18,1000.000000,1000.000000,0.00,0,0,0,,
27.08,20.00,980.03,25.18,1000.000000,1000.000000,0.00,0,0,111,,
27.08,20.00,980.04,25.18,1000.000000,1000.000000,0.00,0,0,111,,
27.08,20.00,979.96,25.18,1000.000000,1000.000000,0.00,0,0,111,,
27.10,20.00,980.06,25.18,1000.000000,1000.000000,0.00,0,0,111,,
27.10,20.00,980.09,25.18,1000.000000,1000.000000,0.00,400,0,111,,
27.10,20.00,980.01,25.18,1000.000000,1000.000000,0.00,400,0,111,,
27.10,20.00,980.05,25.18,1000.000000,1000.000000,0.00,403,0,111,,
27.11,20.00,980.06,25.18,1000.000000,1000.000000,0.00,403,0,111,,
27.11,20.00,979.99,25.18,1000.000000,1000.000000,0.00,400,0,111,,
27.12,20.00,980.02,25.18,1000.000000,1000.000000,0.00,409,1,111,,
27.13,20.00,980.07,25.18,1000.000000,1000.000000,0.00,405,0,111,,
27.12,20.00,980.00,25.18,1000.000000,1000.000000,0.00,405,0,111,,
27.13,20.00,980.12,25.18,1000.000000,1000.000000,0.00,405,0,111,,
27.13,20.00,980.08,25.18,1000.000000,1000.000000,0.00,406,0,111,,
27.13,20.00,980.06,25.18,1000.000000,1000.000000,0.00,400,0,111,,
27.14,20.00,980.08,25.18,1000.000000,1000.000000,0.00,400,0,111,,
27.15,20.00,980.08,25.18,1000.000000,1000.000000,0.00,400,0,111,,
27.15,20.00,980.08,25.18,1000.000000,1000.000000,0.00,403,0,111,,
27.16,20.00,980.16,25.18,1000.000000,1000.000000,0.00,407,1,111,,
27.15,20.00,980.06,25.18,1000.000000,1000.000000,0.00,400,0,111,,
27.16,20.00,980.09,25.18,1000.000000,1000.000000,0.00,400,0,111,,
27.18,20.00,980.09,25.18,1000.000000,1000.000000,0.00,400,0,111,,
27.18,20.00,980.07,25.18,1000.000000,1000.000000,0.00,487,13,111,,
27.19,20.00,980.05,25.18,1000.000000,1000.000000,0.00,597,30,111,,
27.21,20.00,980.07,25.18,1000.000000,1000.000000,0.00,597,30,111,,
27.21,20.00,980.09,25.18,1000.000000,1000.000000,0.00,570,25,111,,
27.21,20.00,980.03,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.22,20.00,980.09,25.18,1000.000000,1000.000000,0.00,3107,412,111,,
27.24,20.00,980.12,25.18,1000.000000,1000.000000,0.00,3107,412,111,,
27.25,20.00,980.08,25.18,1000.000000,1000.000000,0.00,2852,373,111,,
27.24,20.00,980.06,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.22,20.00,979.98,25.18,1000.000000,1000.000000,0.00,4439,615,111,,
27.24,20.00,980.06,25.18,1000.000000,1000.000000,0.00,4439,615,111,,
27.26,20.00,980.10,25.18,1000.000000,1000.000000,0.00,1945,235,111,,
27.27,20.00,980.03,25.18,1000.000000,1000.000000,0.00,1214,124,111,,
27.28,20.00,980.07,25.18,1000.000000,1000.000000,0.00,1030,95,111,,
27.28,20.00,980.09,25.18,1000.000000,1000.000000,0.00,1030,95,111,,
27.28,20.00,980.13,25.18,1000.000000,1000.000000,0.00,1202,122,111,,
27.25,20.00,980.00,25.18,1000.000000,1000.000000,0.00,2353,297,111,,
27.27,20.00,980.09,25.18,1000.000000,1000.000000,0.00,7524,1085,111,,
27.27,20.00,980.16,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.27,20.00,980.04,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.26,20.00,980.03,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.27,20.00,980.08,25.18,1000.000000,1000.000000,0.00,6145,875,111,,
27.27,20.00,980.11,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.28,20.00,980.14,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.26,20.00,980.09,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.27,20.00,980.08,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.27,20.00,980.09,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.27,20.00,980.07,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.27,20.00,980.10,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.29,20.00,980.12,25.18,1000.000000,1000.000000,0.00,5207,732,111,,
27.28,20.00,980.08,25.18,1000.000000,1000.000000,0.00,5968,848,111,,
27.29,20.00,980.05,25.18,1000.000000,1000.000000,0.00,5968,848,111,,
27.30,20.00,980.10,25.18,1000.000000,1000.000000,0.00,3176,422,111,,
27.29,20.00,980.06,25.18,1000.000000,1000.000000,0.00,2625,338,111,,
27.29,20.00,980.02,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.29,20.00,980.04,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.29,20.00,980.02,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.30,20.00,980.06,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.30,20.00,980.06,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.31,20.00,980.08,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.31,20.00,980.07,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.31,20.00,980.10,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.30,20.00,979.99,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.31,20.00,980.07,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.31,20.00,980.05,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.32,20.00,980.05,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.31,20.00,980.06,25.18,1000.000000,1000.000000,0.00,6593,943,111,,
27.33,20.00,980.09,25.18,1000.000000,1000.000000,0.00,6593,943,111,,
27.33,20.00,980.04,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.33,20.00,980.03,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.32,20.00,980.03,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.33,20.00,980.05,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.34,20.00,980.08,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.34,20.00,980.02,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.36,20.00,980.05,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.36,20.00,979.99,25.18,1000.000000,1000.000000,0.00,3498,471,111,,
27.36,20.00,980.01,25.18,1000.000000,1000.000000,0.00,3498,471,111,,
27.38,20.00,980.08,25.18,1000.000000,1000.000000,0.00,2056,252,111,,
27.39,20.00,980.06,25.18,1000.000000,1000.000000,0.00,1647,189,111,,
27.40,20.00,980.08,25.18,1000.000000,1000.000000,0.00,1600,182,111,,
27.40,20.00,980.06,25.18,1000.000000,1000.000000,0.00,1047,98,111,,
27.41,20.00,980.05,25.18,1000.000000,1000.000000,0.00,1047,98,111,,
27.41,20.00,980.01,25.18,1000.000000,1000.000000,0.00,826,64,111,,
27.43,20.00,980.10,25.18,1000.000000,1000.000000,0.00,854,69,111,,
27.43,20.00,980.12,25.18,1000.000000,1000.000000,0.00,800,60,111,,
27.43,20.00,980.07,25.18,1000.000000,1000.000000,0.00,800,60,111,,
27.44,20.00,980.07,25.18,1000.000000,1000.000000,0.00,695,44,111,,
27.44,20.00,980.03,25.18,1000.000000,1000.000000,0.00,557,23,111,,
27.43,20.00,980.02,25.18,1000.000000,1000.000000,0.00,557,23,111,,
27.45,20.00,980.06,25.18,1000.000000,1000.000000,0.00,523,18,111,,
27.45,20.00,980.03,25.18,1000.000000,1000.000000,0.00,728,49,111,,
27.45,20.00,980.00,25.18,1000.000000,1000.000000,0.00,831,65,111,,
27.46,20.00,980.05,25.18,1000.000000,1000.000000,0.00,2114,261,111,,
27.45,20.00,980.02,25.18,1000.000000,1000.000000,0.00,2114,261,111,,
27.47,20.00,980.04,25.18,1000.000000,1000.000000,0.00,897,75,111,,
27.47,20.00,980.10,25.18,1000.000000,1000.000000,0.00,983,88,111,,
27.47,20.00,980.07,25.18,1000.000000,1000.000000,0.00,1230,126,111,,
27.48,20.00,980.09,25.18,1000.000000,1000.000000,0.00,1230,126,111,,
27.47,20.00,980.03,25.18,1000.000000,1000.000000,0.00,981,88,111,,
27.48,20.00,980.03,25.18,1000.000000,1000.000000,0.00,1099,106,111,,
27.50,20.00,980.05,25.18,1000.000000,1000.000000,0.00,792,59,111,,
27.48,20.00,980.04,25.18,1000.000000,1000.000000,0.00,526,19,111,,
27.48,20.00,980.02,25.18,1000.000000,1000.000000,0.00,526,19,111,,
27.47,20.00,980.01,25.18,1000.000000,1000.000000,0.00,3394,456,111,,
27.48,20.00,980.06,25.18,1000.000000,1000.000000,0.00,1666,192,112,,
27.50,20.00,980.05,25.18,1000.000000,1000.000000,0.00,1666,192,112,,
27.50,20.00,980.07,25.18,1000.000000,1000.000000,0.00,588,28,111,,
