SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
27.71,18.00,979.90,25.13,1000.000000,1000.000000,0.00,0,0,0,,
27.72,18.00,979.92,26.03,1000.000000,1000.000000,0.00,0,0,107,,
27.72,18.00,979.88,26.03,1000.000000,1000.000000,0.00,0,0,107,,
27.73,18.00,979.89,26.03,1000.000000,1000.000000,0.00,400,0,107,,
27.74,19.00,979.90,26.06,1000.000000,1000.000000,0.00,407,1,107,,
27.74,19.00,979.97,26.06,1000.000000,1000.000000,0.00,400,0,107,,
27.75,19.00,979.92,26.06,1000.000000,1000.000000,0.00,400,0,107,,
27.74,19.00,979.93,26.06,1000.000000,1000.000000,0.00,400,0,107,,
27.74,19.00,979.89,26.06,1000.000000,1000.000000,0.00,400,0,108,,
27.74,19.00,979.93,26.06,1000.000000,1000.000000,0.00,402,0,108,,
27.75,19.00,979.93,26.06,1000.000000,1000.000000,0.00,400,0,108,,
27.75,19.00,979.92,26.06,1000.000000,1000.000000,0.00,400,0,108,,
27.75,19.00,979.92,26.06,1000.000000,1000.000000,0.00,400,0,108,,
27.77,18.00,979.95,26.03,1000.000000,1000.000000,0.00,400,0,109,,
27.77,18.00,979.88,26.03,1000.000000,1000.000000,0.00,400,0,109,,
27.77,18.00,979.95,26.03,1000.000000,1000.000000,0.00,400,0,108,,
27.77,18.00,979.93,26.03,1000.000000,1000.000000,0.00,400,0,109,,
27.78,18.00,979.89,26.03,1000.000000,1000.000000,0.00,400,0,109,,
27.78,18.00,979.91,26.03,1000.000000,1000.000000,0.00,400,0,109,,
27.79,19.00,979.91,26.06,1000.000000,1000.000000,0.00,400,0,109,,
27.80,19.00,979.91,26.06,1000.000000,1000.000000,0.00,400,0,109,,
27.80,19.00,979.96,26.06,1000.000000,1000.000000,0.00,403,0,109,,
27.80,19.00,979.93,26.06,1000.000000,1000.000000,0.00,454,8,109,,
27.81,19.00,979.83,26.06,1000.000000,1000.000000,0.00,454,8,109,,
27.81,19.00,979.95,26.06,1000.000000,1000.000000,0.00,793,59,109,,
27.82,19.00,979.92,26.06,1000.000000,1000.000000,0.00,1041,97,109,,
27.83,19.00,979.94,26.06,1000.000000,1000.000000,0.00,7992,1156,109,,
27.83,19.00,979.85,26.06,1000.000000,1000.000000,0.00,7992,1156,109,,
27.85,19.00,979.91,26.06,1000.000000,1000.000000,0.00,7992,1156,109,,
27.87,19.00,979.95,26.06,1000.000000,1000.000000,0.00,3653,495,109,,
27.87,19.00,979.91,26.06,1000.000000,1000.000000,0.00,7992,1156,109,,
27.87,19.00,979.91,26.06,1000.000000,1000.000000,0.00,7992,1156,110,,
27.89,19.00,979.93,26.06,1000.000000,1000.000000,0.00,7992,1156,110,,
27.90,19.00,979.94,26.06,1000.000000,1000.000000,0.00,7992,1156,110,,
27.90,19.00,979.94,26.06,1000.000000,1000.000000,0.00,7992,1156,110,,
27.91,19.00,979.89,26.06,1000.000000,1000.000000,0.00,7992,1156,110,,
27.90,19.00,979.90,26.06,1000.000000,1000.000000,0.00,7992,1156,110,,
27.92,19.00,979.91,26.06,1000.000000,1000.000000,0.00,5069,711,110,,
27.93,19.00,979.91,26.06,1000.000000,1000.000000,0.00,7992,1156,111,,
27.94,19.00,979.88,26.06,1000.000000,1000.000000,0.00,7992,1156,111,,
27.93,19.00,979.85,26.06,1000.000000,1000.000000,0.00,7992,1156,111,,
27.96,19.00,979.90,26.06,1000.000000,1000.000000,0.00,7992,1156,111,,
27.98,19.00,979.92,26.06,1000.000000,1000.000000,0.00,7992,1156,111,,
27.98,19.00,979.90,26.06,1000.000000,1000.000000,0.00,5674,803,111,,
28.02,19.00,979.90,26.06,1000.000000,1000.000000,0.00,5674,803,111,,
28.27,19.00,979.94,26.06,1000.000000,1000.000000,0.00,7992,1156,112,,
28.54,19.00,979.96,26.06,1000.000000,1000.000000,0.00,3857,526,114,,
28.49,19.00,979.87,26.06,1000.000000,1000.000000,0.00,2311,291,114,,
28.48,19.00,979.83,26.06,1000.000000,1000.000000,0.00,2311,291,114,,
