SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
28.55,14.00,978.99,25.94,1000.000000,1000.000000,0.00,0,0,0,,
28.57,14.00,978.97,25.94,1000.000000,1000.000000,0.00,0,0,0,,
28.57,14.00,978.99,25.94,1000.000000,1000.000000,0.00,0,0,112,,
28.58,14.00,978.93,25.94,1000.000000,1000.000000,0.00,0,0,113,,
28.58,14.00,978.93,25.94,1000.000000,1000.000000,0.00,0,0,113,,
28.58,14.00,978.95,25.94,1000.000000,1000.000000,0.00,0,0,113,,
28.59,14.00,978.95,25.94,1000.000000,1000.000000,0.00,400,0,113,,
28.59,14.00,978.94,25.94,1000.000000,1000.000000,0.00,7992,1156,114,,
28.61,14.00,978.90,25.94,1000.000000,1000.000000,0.00,6829,979,114,,
28.61,14.00,978.93,25.94,1000.000000,1000.000000,0.00,832,65,114,,
28.63,14.00,978.93,25.94,1000.000000,1000.000000,0.00,832,65,114,,
28.66,14.00,978.88,25.94,1000.000000,1000.000000,0.00,7992,1156,114,,
28.71,14.00,978.88,25.94,1000.000000,1000.000000,0.00,7992,1156,114,,
28.74,14.00,978.92,25.94,1000.000000,1000.000000,0.00,3434,462,114,,
28.74,14.00,978.93,25.94,1000.000000,1000.000000,0.00,3434,462,114,,
28.74,14.00,978.90,25.94,1000.000000,1000.000000,0.00,688,43,114,,
28.74,14.00,978.95,25.94,1000.000000,1000.000000,0.00,7992,1156,114,,
28.74,14.00,978.88,25.94,1000.000000,1000.000000,0.00,7992,1156,114,,
28.78,14.00,978.92,25.94,1000.000000,1000.000000,0.00,7992,1156,114,,
28.79,14.00,978.90,25.94,1000.000000,1000.000000,0.00,4266,588,115,,
28.79,14.00,978.93,25.94,1000.000000,1000.000000,0.00,2430,309,115,,
