SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
30.35,14.00,979.21,26.63,1000.000000,1000.000000,0.00,0,0,111,,
30.36,14.00,979.24,26.63,1000.000000,1000.000000,0.00,0,0,111,,
30.36,14.00,979.28,26.63,1000.000000,1000.000000,0.00,0,0,111,,
30.34,14.00,979.20,26.63,1000.000000,1000.000000,0.00,0,0,111,,
30.33,14.00,979.13,26.63,1000.000000,1000.000000,0.00,0,0,111,,
30.36,14.00,979.25,26.63,1000.000000,1000.000000,0.00,400,0,111,,
30.33,14.00,979.20,26.63,1000.000000,1000.000000,0.00,400,0,112,,
30.34,14.00,979.25,26.63,1000.000000,1000.000000,0.00,400,0,112,,
30.33,14.00,979.26,26.63,1000.000000,1000.000000,0.00,400,0,112,,
30.34,14.00,979.31,26.63,1000.000000,1000.000000,0.00,400,0,112,,
30.34,14.00,979.24,26.63,1000.000000,1000.000000,0.00,400,0,113,,
30.35,14.00,979.28,26.63,1000.000000,1000.000000,0.00,400,0,113,,
30.36,14.00,979.25,26.63,1000.000000,1000.000000,0.00,400,0,113,,
30.36,14.00,979.28,26.63,1000.000000,1000.000000,0.00,400,0,113,,
30.37,14.00,979.29,26.63,1000.000000,1000.000000,0.00,400,0,114,,
30.37,14.00,979.27,26.63,1000.000000,1000.000000,0.00,400,0,114,,
30.37,14.00,979.23,26.63,1000.000000,1000.000000,0.00,400,0,114,,
30.38,14.00,979.22,26.63,1000.000000,1000.000000,0.00,400,0,114,,
30.38,14.00,979.24,26.63,1000.000000,1000.000000,0.00,400,0,114,,
30.39,14.00,979.32,26.63,1000.000000,1000.000000,0.00,1352,145,114,,
30.41,14.00,979.33,26.63,1000.000000,1000.000000,0.00,920,79,114,,
30.40,14.00,979.21,26.63,1000.000000,1000.000000,0.00,400,0,114,,
30.42,14.00,979.24,26.63,1000.000000,1000.000000,0.00,400,0,114,,
30.42,14.00,979.28,26.63,1000.000000,1000.000000,0.00,400,0,114,,
30.43,14.00,979.24,26.63,1000.000000,1000.000000,0.00,400,0,114,,
30.44,14.00,979.22,26.63,1000.000000,1000.000000,0.00,400,0,114,,
30.46,14.00,979.26,26.63,1000.000000,1000.000000,0.00,424,3,114,,
30.44,14.00,979.18,26.63,1000.000000,1000.000000,0.00,400,0,114,,
30.44,14.00,979.15,26.63,1000.000000,1000.000000,0.00,7992,1156,115,,
30.45,14.00,979.18,26.63,1000.000000,1000.000000,0.00,7992,1156,115,,
30.47,14.00,979.19,26.63,1000.000000,1000.000000,0.00,436,5,116,,
30.48,14.00,979.19,26.63,1000.000000,1000.000000,0.00,400,0,116,,
30.49,14.00,979.22,26.63,1000.000000,1000.000000,0.00,400,0,117,,
30.49,14.00,979.20,26.63,1000.000000,1000.000000,0.00,400,0,117,,
30.51,14.00,979.23,26.63,1000.000000,1000.000000,0.00,400,0,117,,
30.53,14.00,979.23,26.63,1000.000000,1000.000000,0.00,400,0,118,,
30.55,14.00,979.20,26.63,1000.000000,1000.000000,0.00,400,0,119,,
30.53,14.00,979.18,26.63,1000.000000,1000.000000,0.00,400,0,119,,
30.55,14.00,979.23,26.63,1000.000000,1000.000000,0.00,400,0,119,,
30.55,13.00,979.18,27.36,1000.000000,1000.000000,0.00,400,0,119,,
30.57,13.00,979.23,27.36,1000.000000,1000.000000,0.00,400,0,120,,
30.58,13.00,979.26,27.36,1000.000000,1000.000000,0.00,400,0,120,,
30.60,13.00,979.28,27.36,1000.000000,1000.000000,0.00,400,0,120,,
30.62,13.00,979.26,27.36,1000.000000,1000.000000,0.00,400,0,120,,
30.61,13.00,979.23,27.36,1000.000000,1000.000000,0.00,400,0,121,,
30.62,13.00,979.21,27.36,1000.000000,1000.000000,0.00,400,0,121,,
30.62,13.00,979.22,27.36,1000.000000,1000.000000,0.00,400,0,121,,
30.63,13.00,979.18,27.36,1000.000000,1000.000000,0.00,970,86,121,,
30.64,13.00,979.21,27.36,1000.000000,1000.000000,0.00,408,1,121,,
30.63,13.00,979.23,27.36,1000.000000,1000.000000,0.00,707,46,121,,
30.64,13.00,979.28,27.36,1000.000000,1000.000000,0.00,707,46,121,,
30.62,13.00,979.26,27.36,1000.000000,1000.000000,0.00,405,0,121,,
30.60,13.00,979.19,27.36,1000.000000,1000.000000,0.00,876,72,121,,
30.57,13.00,979.18,27.36,1000.000000,1000.000000,0.00,495,14,121,,
30.58,13.00,979.22,27.36,1000.000000,1000.000000,0.00,400,0,121,,
30.56,13.00,979.28,27.36,1000.000000,1000.000000,0.00,400,0,121,,
30.55,13.00,979.29,27.36,1000.000000,1000.000000,0.00,7992,1156,121,,
30.54,13.00,979.22,27.36,1000.000000,1000.000000,0.00,1685,195,121,,
30.53,13.00,979.17,27.36,1000.000000,1000.000000,0.00,1659,191,122,,
30.52,13.00,979.19,27.36,1000.000000,1000.000000,0.00,1659,191,122,,
30.52,13.00,979.21,27.36,1000.000000,1000.000000,0.00,961,85,123,,
30.53,13.00,979.28,27.36,1000.000000,1000.000000,0.00,636,35,123,,
30.52,13.00,979.22,27.36,1000.000000,1000.000000,0.00,523,18,123,,
30.53,13.00,979.19,27.36,1000.000000,1000.000000,0.00,7992,1156,124,,
30.55,13.00,979.21,27.36,1000.000000,1000.000000,0.00,7992,1156,124,,
30.62,13.00,979.19,27.36,1000.000000,1000.000000,0.00,7992,1156,125,,
30.68,13.00,979.20,27.36,1000.000000,1000.000000,0.00,7992,1156,126,,
30.78,13.00,979.21,27.36,1000.000000,1000.000000,0.00,7992,1156,126,,
30.88,13.00,979.28,27.36,1000.000000,1000.000000,0.00,7992,1156,127,,
30.85,13.00,979.13,27.36,1000.000000,1000.000000,0.00,7992,1156,127,,
30.84,13.00,979.18,27.36,1000.000000,1000.000000,0.00,7992,1156,127,,
30.83,13.00,979.19,27.36,1000.000000,1000.000000,0.00,7992,1156,127,,
30.82,13.00,979.26,27.36,1000.000000,1000.000000,0.00,5620,795,127,,
